p(MeV) beta E(MeV) m(MeV)
292.734 0.90871 322.142 134.472 
284.504 0.897309 317.064 139.953 
291.488 0.894151 325.993 145.968 
286.827 0.898553 319.21 140.09 
291.731 0.901212 323.71 140.289 
286.674 0.908919 315.401 131.514 
281.829 0.904773 311.491 132.663 
286.571 0.900626 318.191 138.285 
287.045 0.915215 313.637 126.385 
284.642 0.903073 315.193 135.371 
294.985 0.900477 327.588 142.469 
281.346 0.892758 315.142 141.983 
286.719 0.910401 314.937 130.298 
278.715 0.904886 308.012 131.107 
280.912 0.884502 317.593 148.169 
279.031 0.905717 308.078 130.589 
291.405 0.893106 326.283 146.777 
282.775 0.893941 316.324 141.771 
290.328 0.893816 324.818 145.659 
284.807 0.896824 317.573 140.49 
298.83 0.889711 335.873 153.334 
279.912 0.901589 310.465 134.305 
293.689 0.89446 328.342 146.818 
284.393 0.906446 313.745 132.501 
286.226 0.912471 313.683 128.34 
284.132 0.906678 313.377 132.19 
285.953 0.889671 321.414 146.758 
297.586 0.886058 335.854 155.693 
285.606 0.902163 316.579 136.57 
298.462 0.90695 329.083 138.623 
287.028 0.894661 320.823 143.327 
284.577 0.88731 320.719 147.907 
295.843 0.907057 326.157 137.315 
287.544 0.895564 321.076 142.857 
295.752 0.915648 322.997 129.838 
293.984 0.894271 328.742 147.121 
286.218 0.898856 318.424 139.547 
285.857 0.895089 319.361 142.399 
285.314 0.912001 312.844 128.325 
286.321 0.898136 318.794 140.18 
280.34 0.893237 313.847 141.101 
287.071 0.907411 316.363 132.949 
287.127 0.887224 323.624 149.3 
286.591 0.886594 323.249 149.518 
279.414 0.905513 308.57 130.932 
297.012 0.900048 329.996 143.81 
285.092 0.886563 321.57 148.761 
285.581 0.897741 318.11 140.135 
280.226 0.906872 309.002 130.215 
280.167 0.900566 311.101 135.241 
275.464 0.902691 305.159 131.306 
294.682 0.902108 326.659 140.957 
289.802 0.896381 323.302 143.315 
288.701 0.898062 321.471 141.405 
288.4 0.893383 322.818 145.041 
280.73 0.904684 310.307 132.217 
283.561 0.893605 317.323 142.432 
282.477 0.90346 312.662 134.029 
272.19 0.894152 304.411 136.304 
280.017 0.900875 310.828 134.924 
279.864 0.915411 305.725 123.061 
285.635 0.891822 320.282 144.891 
297.334 0.904529 328.717 140.169 
284.309 0.906349 313.686 132.542 
274.162 0.903743 303.363 129.862 
285.286 0.883473 322.914 151.28 
297.223 0.918527 323.587 127.933 
281.914 0.911841 309.171 126.928 
288.472 0.912956 315.976 128.937 
284.885 0.903665 315.255 135.005 
282.893 0.89213 317.098 143.258 
284.78 0.89333 318.784 143.262 
285.272 0.894215 319.02 142.806 
286.269 0.912604 313.684 128.248 
291.897 0.91259 319.855 130.781 
289.613 0.894218 323.873 144.976 
286.821 0.898729 319.141 139.945 
293.883 0.892184 329.397 148.779 
289.062 0.899105 321.5 140.731 
283.794 0.899774 315.406 137.629 
292.352 0.901077 324.447 140.699 
294.982 0.901201 327.321 141.861 
292.618 0.893251 327.587 147.269 
281.865 0.897755 313.966 138.3 
288.595 0.902982 319.602 137.326 
282.68 0.897683 314.899 138.758 
283.459 0.89258 317.573 143.191 
279.546 0.90853 307.691 128.559 
292.662 0.890831 328.527 149.261 
288.74 0.900219 320.744 139.664 
278.475 0.891643 312.317 141.398 
294.716 0.91919 320.625 126.267 
